title_raw,year,journal_raw,doi_raw,score,razones
Removal of multiple pesticides from water by different types of membranes,2024,Chemosphere,10.1016/j.chemosphere.2024.141960,16,EXCL: no menciona antibiotico ni hormona
Metronidazole adsorption by bio-synthesized silver-zinc ferrite nanoadsorbent in presence of chitosan from aqueous media: response surface methodology,2024,Applied Water Science,10.1007/s13201-024-02152-z,61,EXCL: no menciona antibiotico ni hormona
Insight into the key factors and mechanism of excellent tetracycline adsorption on amorphous cobalt carbonate nanosheets,2024,Chemosphere,10.1016/j.chemosphere.2024.141840,57,EXCL: no menciona medio acuoso
Parental exposure to antidepressants has lasting effects on offspring? A case study with zebrafish,2024,Chemosphere,10.1016/j.chemosphere.2024.141851,8,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
"Exploring the mechanism of nonylphenol-induced ovarian developmental delay of manila clams, Ruditapes philippinarum: Applying RNAi to toxicological analysis",2024,Chemosphere,10.1016/j.chemosphere.2024.141905,20,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Development of Plumeria alba extract supplemented biodegradable films containing chitosan and cellulose derived from bagasse and corn cob waste for antimicrobial food packaging,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.131262,40,EXCL: no menciona antibiotico ni hormona
"Spread and persistence of antimicrobial resistance genes in wastewater from human and animal sources in São Paulo, Brazil",2024,Tropical Medicine and International Health,10.1111/tmi.13986,16,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
Disposable surgical/medical face masks and filtering face pieces: Source of microplastics and chemical additives in the environment,2024,Environmental Pollution,10.1016/j.envpol.2024.123792,12,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
Polysaccharide from Boletus aereus ameliorates DSS-induced colitis in mice by regulating the MANF/MUC2 signaling and gut microbiota,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.131232,6,EXCL: no menciona adsorcion ni adsorbente
Physiological and transcriptomic responses of seawater halobios to micro/nano-scale polystyrene-cadmium exposure in a marine food web,2024,Environmental Pollution,10.1016/j.envpol.2024.123843,6,EXCL: no menciona adsorcion ni adsorbente
Effect of Raw and Processed Aurantii Fructus Immaturus Switched to Zhishi Shaoyaosan on Function of Brain-Gut-Microbiota Axis in Rats with Constipation-predominant Irritable Bowel Syndrome,2024,Chinese Journal of Experimental Traditional Medical Formulae,10.13422/j.cnki.syfjx.20240401,4,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
Green synthesis of NiO NPs for metagenome-derived laccase stabilization: Detoxifying pollutants and wastes,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.130986,39,EXCL: no menciona medio acuoso
Physiologic homeostasis after pig-to-human kidney xenotransplantation,2024,Kidney International,10.1016/j.kint.2024.01.016,12,EXCL: no menciona adsorcion ni adsorbente
"2,3-Dichloronaphthoquinone derivatives: Synthesis, antimicrobial activity, molecular modelling and ADMET studies",2024,Bioorganic Chemistry,10.1016/j.bioorg.2024.107300,15,EXCL: no menciona medio acuoso
The role of Fe(IV) in the zero-valent iron biochar activated persulfate system for treatment of contaminants of emerging concern,2024,Chemical Engineering Journal,10.1016/j.cej.2024.150553,11,EXCL: no menciona antibiotico ni hormona
Reproductive endocrine disruption effect and mechanism in male zebrafish after life cycle exposure to environmental relevant triclosan,2024,Aquatic Toxicology,10.1016/j.aquatox.2024.106899,18,EXCL: no menciona adsorcion ni adsorbente
Enhancing antibacterial activity against multi-drug resistant wound bacteria: Incorporating multiple nanoparticles into chitosan-based nanofibrous dressings for effective wound regeneration,2024,Journal of Drug Delivery Science and Technology,10.1016/j.jddst.2024.105542,45,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
Studying the nanocomposite B/ZnO for photocatalysis: facile control the morphology via sol-gel method and antibiotic degradation investigations,2024,Journal of Sol-Gel Science and Technology,10.1007/s10971-024-06359-z,30,EXCL: no menciona medio acuoso
Spread of antibiotic resistance genes to Antarctica by migratory birds,2024,Science of the Total Environment,10.1016/j.scitotenv.2024.171345,12,EXCL: no menciona adsorcion ni adsorbente
"Spatiotemporal distribution, interactions and toxic effect of microorganisms and ARGs/MGEs from the bioreaction tank in hospital sewage treatment facility",2024,Science of the Total Environment,10.1016/j.scitotenv.2024.171481,22,EXCL: no menciona adsorcion ni adsorbente
Developing antibiotics-based strategies to efficiently enrich ammonia-oxidizing archaea from wastewater treatment plants,2024,Science of the Total Environment,10.1016/j.scitotenv.2024.171479,42,EXCL: no menciona adsorcion ni adsorbente
"Characterization, degradation pathway and microbial community of aerobic granular sludge with ciprofloxacin at environmentally relevant concentrations",2024,Biochemical Engineering Journal,10.1016/j.bej.2024.109255,11,EXCL: no menciona medio acuoso
Magnetically actuated pandanus fruit-like nanorobots for enhanced pH-stimulated drug release and targeted biofilm elimination in wound healing,2024,Journal of Colloid and Interface Science,10.1016/j.jcis.2024.01.197,14,EXCL: no menciona medio acuoso
A facile cross-linking copolymerization strategy to synthesize anionic magnetic hydrogels for efficient removal of tylosin tartrate,2024,Environmental Technology and Innovation,10.1016/j.eti.2024.103566,75,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
Interface engineering in a nitrogen-rich COF/BiOBr S-scheme heterojunction triggering efficient photocatalytic degradation of tetracycline antibiotics,2024,Journal of Colloid and Interface Science,10.1016/j.jcis.2024.01.213,26,EXCL: no menciona medio acuoso
Innovative dual-active sites in interfacially engineered interfaces for high-performance S-scheme solar-driven CO2 photoreduction,2024,Journal of Colloid and Interface Science,10.1016/j.jcis.2024.01.168,14,EXCL: no menciona medio acuoso
AgAu-modified quasi-MIL-53 hybrid nanozymes with triple enzyme-like activities for boosting biocatalytic disinfection,2024,Journal of Colloid and Interface Science,10.1016/j.jcis.2024.01.190,19,EXCL: no menciona medio acuoso
Enhanced antibiotic degradation via photo-assisted peroxymonosulfate over graphitic carbon nitride nanosheets/CuBi2O4: Highly efficiency of oxygen activation and interfacial charge transfer,2024,Journal of Colloid and Interface Science,10.1016/j.jcis.2024.01.135,19,EXCL: no menciona medio acuoso
Sorbent functionalization with vancomycin enhances bacteria killing in extracorporeal hemoadsorption,2024,Artificial Organs,10.1111/aor.14704,16,EXCL: no menciona medio acuoso
Cyclodextrin@TiO2 Preparation of Bidirectional Composites for TCH Removal by Photocatalytic Synergistic Adsorption,2024,Journal of Polymers and the Environment,10.1007/s10924-023-03131-2,43,EXCL: no menciona medio acuoso
Green Synthesis of SnO2 Nanoparticles from Laurus nobilis L. Extract for Enhanced Gelatin-Based Films and CEF@SnO2 for Efficient Antibacterial Activity,2024,Food and Bioprocess Technology,10.1007/s11947-023-03209-8,16,EXCL: no menciona antibiotico ni hormona
"A multi-color fluorescent sensing system integrated with color recognition, liquid crystal display, and voice output module for intelligent detection of two targets",2024,Applied Surface Science,10.1016/j.apsusc.2024.159436,22,EXCL: no menciona adsorcion ni adsorbente
Nanostructured lipid carriers (NLCs): A promising candidate for lung cancer targeting,2024,International Journal of Pharmaceutics,10.1016/j.ijpharm.2024.123986,3,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
Hidden threats in the plastisphere: Carbapenemase-producing Enterobacterales colonizing microplastics in river water,2024,Science of the Total Environment,10.1016/j.scitotenv.2024.171268,10,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona adsorcion ni adsorbente
"Monitoring viruses and beta-lactam resistance genes through wastewater surveillance during a COVID-19 surge in Suwon, South Korea",2024,Science of the Total Environment,10.1016/j.scitotenv.2024.171223,50,EXCL: no menciona adsorcion ni adsorbente
Polymeric membrane potentiometric sensors based on template-removal-free imprinted receptors for determination of antibiotics,2024,Analytical Methods,10.1039/d4ay00263f,17,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona medio acuoso
Advancing Photodynamic Antimicrobial Strategy: Sustainable Fabrication of Novel Lauryl Gallate-Chitosan Hydrophobic Films with Rapid Bacterial Capture and Biofilms Elimination Capabilities for Promoting Wound Healing,2024,ACS Applied Materials and Interfaces,10.1021/acsami.4c01735,16,EXCL: no menciona medio acuoso
Characteristics and adsorption behavior of typical microplastics in long-term accelerated weathering simulation,2024,Environmental Science: Processes and Impacts,10.1039/d4em00062e,25,EXCL: no menciona medio acuoso
Sulfur Vacancies in Pyrite Trigger the Path to Nonradical Singlet Oxygen and Spontaneous Sulfamethoxazole Degradation: Unveiling the Hidden Potential in Sediments,2024,Environmental Science and Technology,10.1021/acs.est.3c09316,23,EXCL: no menciona medio acuoso
TSHR signaling promotes hippocampal dependent memory formation through modulating Wnt5a/β-catenin mediated neurogenesis,2024,Biochemical and Biophysical Research Communications,10.1016/j.bbrc.2024.149723,8,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Recent advances in treatment of microplastics in wastewater,2024,Detect. and Treat. of Emerg. Contam. in Wastewater,10.2166/9781789063752_0055,28,EXCL: no menciona antibiotico ni hormona
Impact of PVC microplastics in photodynamic inactivation of Staphylococcus aureus and MRSA,2024,Water Science and Technology,10.2166/wst.2024.104,12,EXCL: no menciona adsorcion ni adsorbente
"Spatiotemporal variations in the occurrence of Campylobacter species in the Bloukrans and Swartkops rivers, Eastern Cape, South Africa",2024,Heliyon,10.1016/j.heliyon.2024.e28774,10,EXCL: no menciona adsorcion ni adsorbente
Advances and innovations in hydrogel particles for sustainable purification of contaminants in aqueous solutions,2024,Chemical Engineering Journal,10.1016/j.cej.2024.150324,36,EXCL: no menciona antibiotico ni hormona
Identification of the NCED gene family in tomato (Solanum lycopersicum) and functional analysis of SlNCED2 in response to drought stress,2024,Scientia Horticulturae,10.1016/j.scienta.2024.113087,6,EXCL: no menciona adsorcion ni adsorbente
Fabrication and characterization of Halloysite–Fe3O4–Ag nanocomposite as efficient catalyst for metronidazole degradation by using sodium borohydride: Artificial neural network modeling,2024,Materials Chemistry and Physics,10.1016/j.matchemphys.2024.129145,32,EXCL: no menciona medio acuoso
Second life of water and wastewater in the context of circular economy – Do the membrane bioreactor technology and storage reservoirs make the recycled water safe for further use?,2024,Science of the Total Environment,10.1016/j.scitotenv.2024.170995,60,EXCL: no menciona adsorcion ni adsorbente
Hospital wastewater (HWW) treatment in low- and middle-income countries: A systematic review of microbial treatment efficacy,2024,Science of the Total Environment,10.1016/j.scitotenv.2024.170994,17,EXCL: no menciona antibiotico ni hormona
Facile introduction of coordinative Fe into oxygen-enriched graphite carbon nitride for efficient photo-Fenton degradation of tetracycline,2024,Journal of Colloid and Interface Science,10.1016/j.jcis.2024.01.131,14,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona adsorcion ni adsorbente
Construction and mechanistic insights of 2D/2D Z-scheme Bi3TiNbO9/BiOBr heterojunction for enhanced photocatalytic organic pollutant removal,2024,Journal of Alloys and Compounds,10.1016/j.jallcom.2024.173671,17,EXCL: no menciona medio acuoso
Dual acceleration of Co(III)/Co(II) redox cycle boosts peroxymonosulfate activation for superfast chloramphenicol degradation,2024,Separation and Purification Technology,10.1016/j.seppur.2024.126321,20,EXCL: no menciona medio acuoso
"Spatiotemporal distribution, source apportionment, and ecological risk of bisphenol analogues in a highly urbanized river basin",2024,Science of the Total Environment,10.1016/j.scitotenv.2024.170964,16,EXCL: no menciona adsorcion ni adsorbente
Efficient removal of chlortetracycline hydrochloride by MOF-5-derived metal-free carbon materials with ultra-high specific surface area,2024,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2024.133474,89,EXCL: no menciona medio acuoso
"Photothermal-assisted S-scheme PDIs/C, N, S-CeO2 derived from MOF-808 (Ce) heterojunction for photocatalytic removal of antibiotics",2024,Journal of Alloys and Compounds,10.1016/j.jallcom.2024.173568,25,EXCL: no menciona medio acuoso
Carbon-Rich g-C3N4 Nanotubes with Highly Dispersed Cobalt as a Catalyst to Degrade Sulfamethoxazole in the Vis-PMS System: Nonradical Oxidation Role,2024,Industrial and Engineering Chemistry Research,10.1021/acs.iecr.4c00183,16,EXCL: no menciona adsorcion ni adsorbente
The Role of Second Metal on the Catalytic in-Situ Generation of H2O2 by Fe/Ni Bimetallic Nanoparticles: Degradation Studies of Metronidazole Antibiotic,2024,Iranian Journal of Chemistry and Chemical Engineering,10.30492/ijcce.2024.1985976.5815,23,EXCL: no menciona medio acuoso
"RESISTANCE TO CEPHALOSPORINS AND QUINOLONES IN Escherichia coli ISOLATED FROM IRRIGATION WATER FROM THE RÍMAC RIVER IN EAST LIMA, PERU",2024,Revista Peruana de Medicina Experimental y Salud Publica,10.17843/rpmesp.2024.412.13246,52,EXCL: no menciona adsorcion ni adsorbente
"Multidrug-resistant Escherichia coli from Artesian Well Waters in Los Baños, Laguna, the Philippines",2024,Philippine Journal of Science,,56,EXCL: no menciona adsorcion ni adsorbente
Formulation and Evaluation of Electrospun Nanofiber Mats of Curcumiand Leaf Extract of Tinospora cordifolia: Designed for Accelerating Diabetic Wound Healing,2024,International Journal of Drug Delivery Technology,10.25258/ijddt.14.2.12,14,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona antibiotico ni hormona
Interaction effect and mechanism between microorganisms in earthworm intestine and pollutants in soil,2024,Chinese Journal of Ecology,10.13292/j.1000-4890.202404.034,13,EXCL: no menciona medio acuoso
DESIGN AND OPTIMIZATION OF OCULAR INSERTS FOR PROLONGED DELIVERY OF CIPROFLOXACIN WITH CORTICOSTEROID,2024,Indian Drugs,10.53879/id.61.04.13942,30,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
The Effect of an Attenuated Live Vaccine against Salmonid Rickettsial Septicemia in Atlantic Salmon (Salmo salar) Is Highly Dependent on Water Temperature during Immunization,2024,Vaccines,10.3390/vaccines12040416,6,EXCL: no menciona adsorcion ni adsorbente
Detection of metallo-beta-lactamase-producing genes blaSPM and blaNDM in Pseudomonas aeruginosa isolated from wastewater in Southern Brazil,2024,Journal of Water and Health,10.2166/wh.2024.305,24,EXCL: no menciona adsorcion ni adsorbente
Microbiological quality of irrigation water on highly diverse fresh produce smallholder farms: elucidating environmental routes of contamination,2024,Journal of Applied Microbiology,10.1093/jambio/lxae091,21,EXCL: no menciona antibiotico ni hormona
"Duplicated Copy Number Variant of the Maize 9-Lipoxygenase ZmLOX5 Improves 9,10-KODA-Mediated Resistance to Fall Armyworms",2024,Genes,10.3390/genes15040401,6,EXCL: no menciona adsorcion ni adsorbente
"Prevalence, Molecular Detection, and Antimicrobial Resistance of Salmonella Isolates from Poultry Farms across Central Ethiopia: A Cross-Sectional Study in Urban and Peri-Urban Areas",2024,Microorganisms,10.3390/microorganisms12040767,10,EXCL: no menciona adsorcion ni adsorbente
"The Prevalence, Risk Factors, and Antimicrobial Resistance Determinants of Helicobacter pylori Detected in Dyspeptic Patients in North–Central Bangladesh",2024,Infectious Disease Reports,10.3390/idr16020014,14,EXCL: no menciona adsorcion ni adsorbente
On Interactions of Sulfamerazine with Cyclodextrins from Coupled Diffusometry and Toxicity Tests,2024,Biomolecules,10.3390/biom14040462,4,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Influence of prepubertal aflatoxicosis on pubertal reproductive activity in male rats,2024,Iraqi Journal of Veterinary Sciences,10.33899/ijvs.2023.141632.3125,18,EXCL: no menciona adsorcion ni adsorbente
In vitro anti-Helicobacter pylori activity and antivirulence activity of cetylpyridinium chloride,2024,PLoS ONE,10.1371/journal.pone.0300696,10,EXCL: no menciona adsorcion ni adsorbente
"The proliferation of antibiotic resistance genes (ARGs) and microbial communities in industrial wastewater treatment plant treating N,N-dimethylformamide (DMF) by AAO process",2024,PLoS ONE,10.1371/journal.pone.0299740,32,EXCL: no menciona adsorcion ni adsorbente
Historical trajectories of antibiotics resistance genes assessed through sedimentary DNA analysis of a subtropical eutrophic lake,2024,Environment International,10.1016/j.envint.2024.108654,24,EXCL: no menciona adsorcion ni adsorbente
A twofold interpenetrated two-dimensional zinc(II) coordination polymer for the highly sensitive detection of nitrofurantoin in aqueous medium,2024,Acta Crystallographica Section C: Structural Chemistry,10.1107/S2053229624002171,4,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
Variations in thyroid hormone levels in endangered St. Lawrence Estuary belugas: Potential linkage with stress and organohalogen contaminant exposure,2024,Environment International,10.1016/j.envint.2024.108647,24,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Enhanced degradation and removal of ciprofloxacin and ofloxacin through advanced oxidation and adsorption processes using environmentally friendly modified carbon nanotubes,2024,Environmental Science and Pollution Research,10.1007/s11356-024-33252-7,65,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona medio acuoso
Comparison of qPCR and metagenomic sequencing methods for quantifying antibiotic resistance genes in wastewater,2024,PLoS ONE,10.1371/journal.pone.0298325,32,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona adsorcion ni adsorbente
Enhanced metal-free photocatalyst performance by synergistic Coupling of internal magnetic field and piezoelectric field,2024,Journal of Environmental Management,10.1016/j.jenvman.2024.120597,11,EXCL: no menciona medio acuoso
Novel insights into the co-selection of metal-driven antibiotic resistance in bacteria: a study of arsenic and antibiotic co-exposure,2024,Archives of Microbiology,10.1007/s00203-024-03873-0,58,EXCL: no menciona adsorcion ni adsorbente
"Subnano-Fe (Co, Ni) clusters anchored on halloysite nanotubes: an efficient Fenton-like catalyst for the degradation of tetracycline",2024,Environmental Science and Pollution Research,10.1007/s11356-024-32947-1,28,EXCL: no menciona medio acuoso
"Detection of plastic, cellulosic micro-fragments and microfibers in Laternula elliptica from King George Island (Maritime Antarctica)",2024,Marine Pollution Bulletin,10.1016/j.marpolbul.2024.116257,18,EXCL: no menciona antibiotico ni hormona
Preparation of biguanidine quaternary ammonium salts grafted chitosan with enhanced antibacterial and antibiofilm activities,2024,Carbohydrate Research,10.1016/j.carres.2024.109078,24,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
"Pirarucu hydroxyapatite applied to ternary competitive adsorption of synthetic basic dyes as contaminants of emerging concern: kinetic, equilibrium, and ANN studies",2024,Environmental Science and Pollution Research,10.1007/s11356-024-32968-w,57,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
"Impacts of electric field coupled membrane bioreactor on phenol wastewater with high salinity: Performance, membrane fouling and eco-friendly strategy",2024,Journal of Water Process Engineering,10.1016/j.jwpe.2024.105076,8,EXCL: no menciona adsorcion ni adsorbente
A plasmonic S-scheme Au/MIL-101(Fe)/BiOBr photocatalyst for efficient synchronous decontamination of Cr(VI) and norfloxacin antibiotic,2024,eScience,10.1016/j.esci.2023.100208,22,EXCL: no menciona medio acuoso
"Incidence of typhoid fever in Burkina Faso, Democratic Republic of the Congo, Ethiopia, Ghana, Madagascar, and Nigeria (the Severe Typhoid in Africa programme): a population-based study",2024,The Lancet Global Health,10.1016/S2214-109X(24)00007-X,6,EXCL: no menciona adsorcion ni adsorbente
"Multitasking needle-shaped copper oxide nanorods decorated cystine modified polymer/graphene oxide nanocomposite for 4-nitrophenol reduction, dye degradation, and textile effluent treatment",2024,Journal of Environmental Chemical Engineering,10.1016/j.jece.2024.112346,40,EXCL: no menciona antibiotico ni hormona
Involvement of functional metabolism promotes the enrichment of antibiotic resistome in drinking water: Based on the PICRUSt2 functional prediction,2024,Journal of Environmental Management,10.1016/j.jenvman.2024.120544,30,EXCL: tipo de estudio (sensor/biomedico/genetica/AOP) | EXCL: no menciona adsorcion ni adsorbente
Visible-light photoactivated proanthocyanidin and kappa-carrageenan coating with anti-adhesive properties against clinically relevant bacteria,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.130611,4,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Enhanced synthesis of chloramphenicol intermediate L-threo-p-nitrophenylserine using engineered L-threonine transaldolase and by-product elimination,2024,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2024.130310,18,EXCL: no menciona medio acuoso
Reduced Cytokine Release Syndrome and Improved Outcomes with Earlier Immunosuppressive Therapy in Haploidentical Stem Cell Transplantation,2024,Transplantation and Cellular Therapy,10.1016/j.jtct.2024.01.076,7,EXCL: no menciona medio acuoso
Sishenwan Combined with Tongxie Yaofang Treats Ulcerative Colitis with Spleen-kidney Yang Deficiency and Liver Depression,2024,Chinese Journal of Experimental Traditional Medical Formulae,10.13422/j.cnki.syfjx.20231719,6,EXCL: no menciona adsorcion ni adsorbente
Construction of SU-102 for adsorption and photocatalytic synergistic removal of tetracycline,2024,Environmental Science and Pollution Research,10.1007/s11356-024-32737-9,42,EXCL: no menciona medio acuoso
Regulation of phase composition and oxygen vacancy in hydrothermally synthesized NaNbO3 nanowire and its enhanced piezocatalytic activity for antibiotic elimination,2024,Chemical Engineering Journal,10.1016/j.cej.2024.149885,29,EXCL: no menciona medio acuoso
The toxicity of polystyrene micro- and nano-plastics on rare minnow (Gobiocypris rarus) varies with the particle size and concentration,2024,Aquatic Toxicology,10.1016/j.aquatox.2024.106879,4,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
Chronic Excess Iodine Intake Inhibits Bone Reconstruction Leading to Osteoporosis in Rats,2024,Journal of Nutrition,10.1016/j.tjnut.2024.02.005,10,EXCL: no menciona adsorcion ni adsorbente
"Nano-scale and micron-scale plastics amplify the bioaccumulation of benzophenone-3 and ciprofloxacin, as well as their co-exposure effect on disturbing the antioxidant defense system in mussels, Perna viridis",2024,Environmental Pollution,10.1016/j.envpol.2024.123547,30,EXCL: no menciona medio acuoso
The influence of various precursors on solar-light-driven g-C3N4 synthesis and its effect on photocatalytic tetracycline hydrochloride (TCH) degradation,2024,Inorganic Chemistry Communications,10.1016/j.inoche.2024.112201,23,EXCL: no menciona medio acuoso
Alkali-thermal humification treatment for simultaneous plant-growth-promoting compounds production and antibiotic removal from lincomycin fermentation residues,2024,Chemical Engineering Journal,10.1016/j.cej.2024.149449,33,EXCL: no menciona medio acuoso
"Evaluating acute gastroenteritis-causing pathogen reduction in wastewater and the applicability of river water for wastewater-based epidemiology in the Kathmandu Valley, Nepal",2024,Science of the Total Environment,10.1016/j.scitotenv.2024.170764,42,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
Facile synthesis of silver selenide anchored on β-cd/reduced graphene oxide hybrid composites for electrochemical sensing of azithromycin in biological and environmental samples,2024,Journal of the Taiwan Institute of Chemical Engineers,10.1016/j.jtice.2024.105406,24,EXCL: no menciona adsorcion ni adsorbente
"Responses of activated sludge to quorum sensing inhibitor and antibiotic compound stress: Interactions among abundant-rare genera, functional genes, and antibiotic resistance genes",2024,Journal of Environmental Chemical Engineering,10.1016/j.jece.2024.112199,33,EXCL: no menciona medio acuoso
A PEGylated star polymer with a silver-porphyrin core as an efficient photo-antimicrobial agent,2024,Dyes and Pigments,10.1016/j.dyepig.2024.111957,6,EXCL: no menciona adsorcion ni adsorbente
"Aeromonas veronii tolC modulates its virulence and the immune response of freshwater pearl mussels, Hyriopsis cumingii",2024,Developmental and Comparative Immunology,10.1016/j.dci.2024.105137,6,EXCL: no menciona adsorcion ni adsorbente
Denitrification driven by additional ferrous (Fe2+) and manganous (Mn2+) and removal mechanism of tetracycline and cadmium (Cd2+) by biogenic Fe–Mn oxides,2024,Environmental Research,10.1016/j.envres.2024.118159,35,EXCL: no menciona medio acuoso
A novel electrochemiluminescence biosensor based on Ru(bpy)32+-functionalized MOF composites and cycle amplification technology of DNAzyme walker for ultrasensitive detection of kanamycin,2024,Journal of Colloid and Interface Science,10.1016/j.jcis.2024.01.045,20,EXCL: no menciona antibiotico ni hormona
"Physicochemical Characterization, Antioxidant and Antimicrobial Potential of Biodegradable Chitosan-Based Films Containing Pomegranate (Punica granatum L.) Peel Extract",2024,Journal of Polymers and the Environment,10.1007/s10924-023-03063-x,11,EXCL: no menciona antibiotico ni hormona
"Present Status, Limitations, and Prospects of Using Streptomyces Bacteria as a Potential Probiotic Agent in Aquaculture",2024,Probiotics and Antimicrobial Proteins,10.1007/s12602-023-10053-x,6,EXCL: no menciona adsorcion ni adsorbente
Nanoscale CoNi alloy@carbon derived from Hofmann-MOF as a magnetic/effective activator for monopersulfate to eliminate an ultraviolet filter,2024,Journal of Nanostructure in Chemistry,10.1007/s40097-022-00499-w,29,EXCL: no menciona medio acuoso
Synthesis of novel oxytetracycline-molecularly imprinted polymer using a semi-covalent chemical imprinting approach for magnetic dispersive solid phase extraction of tetracyclines in water and milk samples,2024,Food Chemistry,10.1016/j.foodchem.2023.137854,34,EXCL: no menciona adsorcion ni adsorbente
Antibiotic cement nails manufactured with threaded rods or cannulated intramedullary nails are better than those made with guidewires and do not debond,2024,OTA International,10.1097/OI9.0000000000000298,28,EXCL: no menciona medio acuoso
N-C QDs coated with a molecularly imprinted polymer as a fluorescent probe for detection of penicillin,2024,Dalton Transactions,10.1039/d3dt04297a,6,EXCL: no menciona adsorcion ni adsorbente
Glucuronic acid confers colonization advantage to enteric pathogens,2024,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2400226121,3,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
Salmonella T3SS-2 virulence enhances gut-luminal colonization by enabling chemotaxis-dependent exploitation of intestinal inflammation,2024,Cell Reports,10.1016/j.celrep.2024.113925,3,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona medio acuoso
"Antioxidant, hemostatic, and injectable hydrogels with photothermal antibacterial activity to accelerate full-thickness wound regeneration",2024,New Journal of Chemistry,10.1039/d3nj05871a,14,EXCL: no menciona antibiotico ni hormona
Effects of polystyrene nanoplastics and PCB-44 exposure on growth and physiological biochemistry of Chlorella vulgaris,2024,Science of the Total Environment,10.1016/j.scitotenv.2024.170366,4,EXCL: no menciona medio acuoso | EXCL: no menciona adsorcion ni adsorbente
An evaluation of conventional and nature-based technologies for controlling antibiotic-resistant bacteria and antibiotic-resistant genes in wastewater treatment plants,2024,Science of the Total Environment,10.1016/j.scitotenv.2024.170433,54,EXCL: no menciona adsorcion ni adsorbente
Impact of uranium on antibiotic resistance in activated sludge,2024,Science of the Total Environment,10.1016/j.scitotenv.2024.170369,30,EXCL: no menciona adsorcion ni adsorbente
Construction of porous chitosan-based organic/inorganic composite with synergistic antibacterial activity,2024,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2024.133208,13,EXCL: no menciona medio acuoso
A robust magnetic composite catalyst derived from waste ore and biomass for efficient degradation of tetracycline by activated peroxymonosulfate,2024,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2024.133249,23,EXCL: no menciona medio acuoso
Two in one is really better: NiAl-LDH/[CoNi(μ3-tp)2(μ2-py)2] nanocomposite for enhanced antibiotic norfloxacin degradation and H2 evolution reaction,2024,Separation and Purification Technology,10.1016/j.seppur.2023.125748,53,EXCL: no menciona medio acuoso
"Subcutaneous pythiosis in human treated successfully with antimicrobial treatment, debridement and immunotherapy",2024,BMJ Case Reports,10.1136/bcr-2023-258587,6,EXCL: no menciona adsorcion ni adsorbente
"Type I photodynamic antimicrobial therapy: Principles, progress, and future perspectives",2024,Acta Biomaterialia,10.1016/j.actbio.2024.02.005,11,EXCL: no menciona medio acuoso
Solvent polarity and hydrophobicity of solutes are two sides of the same coin,2024,Biochemical and Biophysical Research Communications,10.1016/j.bbrc.2024.149600,12,EXCL: no menciona antibiotico ni hormona | EXCL: no menciona adsorcion ni adsorbente
